Model,Variable,Alias,Experiment,Realization,Moving Year,File,DoIt?
CanESM2,pr,Precipitacion [mm],Historical,R1,0,/GCMData_MagdalenaCauca/Pr/CanESM2/HISTORICAL,1
CanESM2,tas,Temperatura media [c],Historical,R1,0,/GCMData_MagdalenaCauca/Ta/CanESM2/HISTORICAL,1
CanESM2,pr,Precipitacion [mm],rcp45,R1,0,/GCMData_MagdalenaCauca/Pr/CanESM2/RCP4.5,1
CanESM2,tas,Temperatura media [c],rcp45,R1,0,/GCMData_MagdalenaCauca/Ta/CanESM2/RCP4.5,1
CanESM2,pr,Precipitacion [mm],rcp85,R1,0,/GCMData_MagdalenaCauca/Pr/CanESM2/RCP8.5,1
CanESM2,tas,Temperatura media [c],rcp85,R1,0,/GCMData_MagdalenaCauca/Ta/CanESM2/RCP8.5,1
CCSM4,pr,Precipitacion [mm],Historical,R1,0,/GCMData_MagdalenaCauca/Pr/CCSM4/HISTORICAL/R1,1
CCSM4,tas,Temperatura media [c],Historical,R1,0,/GCMData_MagdalenaCauca/Ta/CCSM4/HISTORICAL/R1,1
CCSM4,pr,Precipitacion [mm],rcp45,R1,0,/GCMData_MagdalenaCauca/Pr/CCSM4/RCP4.5/R1,1
CCSM4,tas,Temperatura media [c],rcp45,R1,0,/GCMData_MagdalenaCauca/Ta/CCSM4/RCP4.5/R1,1
CCSM4,pr,Precipitacion [mm],rcp85,R1,0,/GCMData_MagdalenaCauca/Pr/CCSM4/RCP8.5/R1,1
CCSM4,tas,Temperatura media [c],rcp85,R1,0,/GCMData_MagdalenaCauca/Ta/CCSM4/RCP8.5/R1,1
CSIRO-Mk3-6-0,pr,Precipitacion [mm],Historical,R1,0,/GCMData_MagdalenaCauca/Pr/CSIRO-Mk3-6-0/HISTORICAL/R1,0
CSIRO-Mk3-6-0,tas,Temperatura media [c],Historical,R1,0,/GCMData_MagdalenaCauca/Ta/CSIRO-Mk3-6-0/HISTORICAL/R1,0
CSIRO-Mk3-6-0,pr,Precipitacion [mm],rcp45,R1,0,/GCMData_MagdalenaCauca/Pr/CSIRO-Mk3-6-0/RCP4.5/R1,0
CSIRO-Mk3-6-0,tas,Temperatura media [c],rcp45,R1,0,/GCMData_MagdalenaCauca/Ta/CSIRO-Mk3-6-0/RCP4.5/R1,0
CSIRO-Mk3-6-0,pr,Precipitacion [mm],rcp85,R1,0,/GCMData_MagdalenaCauca/Pr/CSIRO-Mk3-6-0/RCP8.5/R1,0
CSIRO-Mk3-6-0,tas,Temperatura media [c],rcp85,R1,0,/GCMData_MagdalenaCauca/Ta/CSIRO-Mk3-6-0/RCP8.5/R1,0
